Name,Program Identifier,Inspection Date,Description,Address,City,Zip Code,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID,Location
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,9/17/15,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,25,Unsatisfactory,FALSE,red,1710 - Proper hot holding temperatures (less than130 degrees),25,PR0014719,DAAOEJIZP,IV6GUU9WU,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/13/15,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0014719,DATF9W0U0,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,8/6/14,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0014719,DAS8ETZ4D,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,1/6/14,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0014719,DAJRDDU8E,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,9/26/13,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0014719,DAQRW0CHO,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,6/25/13,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,5,Satisfactory,FALSE,blue,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0014719,DADPKSJMJ,IVPU98FQT,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,2/13/13,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0014719,DA2414539,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,8/13/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0014719,DA2361259,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/31/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,20,Unsatisfactory,FALSE,red,0600 - Adequate handwashing facilities,10,PR0014719,DA2357088,IV5671915,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/31/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,20,Unsatisfactory,FALSE,red,0200 - Food Worker Cards current for all food...,5,PR0014719,DA2357088,IV5671925,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/31/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,20,Unsatisfactory,FALSE,red,2200 - Accurate thermometer provided and used ...,5,PR0014719,DA2357088,IV5671891,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,3/28/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,20,Unsatisfactory,FALSE,red,0600 - Adequate handwashing facilities,10,PR0014719,DA2319202,IV5112781,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,3/28/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,20,Unsatisfactory,FALSE,blue,2900 - Adequate equipment for temperature control,5,PR0014719,DA2319202,IV5112787,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,3/28/12,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,20,Unsatisfactory,FALSE,blue,"3400 - Wiping cloths properly used, stored",5,PR0014719,DA2319202,IV5112796,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,12/14/11,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0014719,DA2289006,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/26/11,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,15,Unsatisfactory,FALSE,red,0200 - Food Worker Cards current for all food...,5,PR0014719,DA2244255,IV3815890,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/26/11,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,15,Unsatisfactory,FALSE,red,0600 - Adequate handwashing facilities,10,PR0014719,DA2244255,IV3815910,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,1/31/11,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,10,Unsatisfactory,FALSE,red,0200 - Food Worker Cards current for all food...,5,PR0014719,DA2189850,IV2977580,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,1/31/11,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,10,Unsatisfactory,FALSE,red,2200 - Accurate thermometer provided and used ...,5,PR0014719,DA2189850,IV2977604,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,10/14/10,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0014719,DA2158779,,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/28/10,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,10,Unsatisfactory,FALSE,red,2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F),5,PR0014719,DA2130722,IV2220756,
7-ELEVEN STORE #2360-29078B,7-ELEVEN STORE #2360-29078A,7/28/10,Seating 0-12 - Risk Category III,101 NE 50TH ST ,Seattle,98105,(253) 796-7155,-122.3279616,47.6647198,7-ELEVEN STORE #2360-29078B,Routine Inspection/Field Review,10,Unsatisfactory,FALSE,red,0200 - Food Worker Cards current for all food...,5,PR0014719,DA2130722,IV2220783,
"7-ELEVEN, INC #35289A",7-ELEVEN 35289A,12/30/15,Seating 0-12 - Risk Category III,4224 UNIVERSITY WAY NE,SEATTLE,98105,(206) 632-0722,-122.3128541,47.65910767,"7-ELEVEN, INC #35289A",Consultation/Education - Field,0,Complete,FALSE,,,0,PR0081685,DA0DPCRNJ,,
"7-ELEVEN, INC #35289A",7-ELEVEN 35289A,3/25/15,Seating 0-12 - Risk Category III,4224 UNIVERSITY WAY NE,SEATTLE,98105,(206) 632-0722,-122.3128541,47.65910767,"7-ELEVEN, INC #35289A",Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0081685,DAXID0PLK,,
